lorenzo,Rusia,x,,ArabiaSaudita
lorenzo,Uruguay,x,,Egipto
lorenzo,Rusia,x,,Egipto
lorenzo,Uruguay,x,,ArabiaSaudita
lorenzo,Uruguay,x,,Rusia
lorenzo,ArabiaSaudita,x,,Egipto
lorenzo,Portugal,x,,España
lorenzo,Marruecos,x,,Irán
lorenzo,Portugal,x,,Marruecos
lorenzo,Irán,x,,España
lorenzo,Irán,x,,Portugal
lorenzo,España,x,,Marruecos
lorenzo,Francia,x,,Australia
lorenzo,Perú,x,,Dinamarca
lorenzo,Dinamarca,x,,Australia
lorenzo,France,x,,Peru
lorenzo,Dinamarca,x,,France
lorenzo,Australia,x,,Peru
lorenzo,Argentina,x,,Islandia
lorenzo,Croacia,x,,Nigeria
lorenzo,Argentina,x,,Croacia
lorenzo,Nigeria,x,,Islandia
lorenzo,Nigeria,x,,Argentina
lorenzo,Islandia,x,,Croatia
lorenzo,Brasil,x,,Suiza
lorenzo,Serbia,x,,CostaRica
lorenzo,Brasil,x,,CostaRica
lorenzo,Serbia,x,,Suiza
lorenzo,Serbia,x,,Brazil
lorenzo,Suiza,x,,CostaRica
lorenzo,Alemania,x,,México
lorenzo,Suecia,x,,CoreadelSur
lorenzo,México,x,,CoreadelSur
lorenzo,Alemania,x,,Suecia
lorenzo,México,x,,Suecia
lorenzo,CoreadelSur,x,,Alemania
lorenzo,Bélgica,x,,Panamá
lorenzo,Túnez,x,,Inglaterra
lorenzo,Bélgica,x,,Túnez
lorenzo,Inglaterra,x,,Panamá
lorenzo,Inglaterra,x,,Bélgica
lorenzo,Panamá,x,,Túnez
lorenzo,Colombia,x,,Japón
lorenzo,Polonia,x,,Senegal
lorenzo,Japón,x,,Senegal
lorenzo,Polonia,x,,Colombia
lorenzo,Japón,x,,Polonia
lorenzo,Senegal,x,,Colombia
facundo,Rusia,,x,ArabiaSaudita
facundo,Uruguay,,x,Egipto
facundo,Rusia,,x,Egipto
facundo,Uruguay,,x,ArabiaSaudita
facundo,Uruguay,,x,Rusia
facundo,ArabiaSaudita,,x,Egipto
facundo,Portugal,,x,España
facundo,Marruecos,,x,Irán
facundo,Portugal,,x,Marruecos
facundo,Irán,,x,España
facundo,Irán,,x,Portugal
facundo,España,,x,Marruecos
facundo,Francia,,x,Australia
facundo,Perú,,x,Dinamarca
facundo,Dinamarca,,x,Australia
facundo,France,,x,Peru
facundo,Dinamarca,,x,France
facundo,Australia,,x,Peru
facundo,Argentina,,x,Islandia
facundo,Croacia,,x,Nigeria
facundo,Argentina,,x,Croacia
facundo,Nigeria,,x,Islandia
facundo,Nigeria,,x,Argentina
facundo,Islandia,,x,Croatia
facundo,Brasil,,x,Suiza
facundo,Serbia,,x,CostaRica
facundo,Brasil,,x,CostaRica
facundo,Serbia,,x,Suiza
facundo,Serbia,,x,Brazil
facundo,Suiza,,x,CostaRica
facundo,Alemania,,x,México
facundo,Suecia,,x,CoreadelSur
facundo,México,,x,CoreadelSur
facundo,Alemania,,x,Suecia
facundo,México,,x,Suecia
facundo,CoreadelSur,,x,Alemania
facundo,Bélgica,,x,Panamá
facundo,Túnez,,x,Inglaterra
facundo,Bélgica,,x,Túnez
facundo,Inglaterra,,x,Panamá
facundo,Inglaterra,,x,Bélgica
facundo,Panamá,,x,Túnez
facundo,Colombia,,x,Japón
facundo,Polonia,,x,Senegal
facundo,Japón,,x,Senegal
facundo,Polonia,,x,Colombia
facundo,Japón,,x,Polonia
facundo,Senegal,,x,Colombia
leonardo,Rusia,,,ArabiaSaudita
leonardo,Uruguay,,,Egipto
leonardo,Rusia,,,Egipto
leonardo,Uruguay,,,ArabiaSaudita
leonardo,Uruguay,,,Rusia
leonardo,ArabiaSaudita,,,Egipto
leonardo,Portugal,,,España
leonardo,Marruecos,,,Irán
leonardo,Portugal,,,Marruecos
leonardo,Irán,,,España
leonardo,Irán,,,Portugal
leonardo,España,,,Marruecos
leonardo,Francia,,,Australia
leonardo,Perú,,,Dinamarca
leonardo,Dinamarca,,,Australia
leonardo,France,,,Peru
leonardo,Dinamarca,,,France
leonardo,Australia,,,Peru
leonardo,Argentina,,,Islandia
leonardo,Croacia,,,Nigeria
leonardo,Argentina,,,Croacia
leonardo,Nigeria,,,Islandia
leonardo,Nigeria,,,Argentina
leonardo,Islandia,,,Croatia
leonardo,Brasil,,,Suiza
leonardo,Serbia,,,CostaRica
leonardo,Brasil,,,CostaRica
leonardo,Serbia,,,Suiza
leonardo,Serbia,,,Brazil
leonardo,Suiza,,,CostaRica
leonardo,Alemania,,,Méico
leonardo,Suecia,,,CoreadelSur
leonardo,Méico,,,CoreadelSur
leonardo,Alemania,,,Suecia
leonardo,Méico,,,Suecia
leonardo,CoreadelSur,,,Alemania
leonardo,Bélgica,,,Panamá
leonardo,Túnez,,,Inglaterra
leonardo,Bélgica,,,Túnez
leonardo,Inglaterra,,,Panamá
leonardo,Inglaterra,,,Bélgica
leonardo,Panamá,,,Túnez
leonardo,Colombia,,,Japón
leonardo,Polonia,,,Senegal
leonardo,Japón,,,Senegal
leonardo,Polonia,,,Colombia
leonardo,Japón,,,Polonia
leonardo,Senegal,,,Colombia
federico,Rusia,,x,ArabiaSaudit
federico,Uruguay,x,,Egipto
federico,Rusia,,x,Egipto
federico,Uruguay,x,,ArabiaSaud
federico,Uruguay,,x,Rusia
federico,ArabiaSaudita,x,,Egip
federico,Portugal,,x,España
federico,Marruecos,,x,Irán
federico,Portugal,x,,Marruecos
federico,Irán,,x,España
federico,Irán,,x,Portugal
federico,España,x,,Marruecos
federico,Francia,,x,Australia
federico,Perú,,x,Dinamarca
federico,Dinamarca,,x,Australi
federico,France,,x,Peru
federico,Dinamarca,,x,France
federico,Australia,x,,Peru
federico,Argentina,x,,Islandia
federico,Croacia,x,,Nigeria
federico,Argentina,,x,Croacia
federico,Nigeria,,x,Islandia
federico,Nigeria,x,,Argentina
federico,Islandia,x,,Croatia
federico,Brasil,,x,Suiza
federico,Serbia,x,,CostaRica
federico,Brasil,x,,CostaRica
federico,Serbia,,x,Suiza
federico,Serbia,,x,Brazil
federico,Suiza,,x,CostaRica
federico,Alemania,x,,Méico
federico,Suecia,,,CxoreadelSur
federico,Méico,x,,CoreadelSur
federico,Alemania,,x,Suecia
federico,Méico,,x,Suecia
federico,CoreadelSur,x,,Aleman
federico,Bélgica,x,,Panamá
federico,Túnez,,x,Inglaterra
federico,Bélgica,x,,Túnez
federico,Inglaterra,x,,Panamá
federico,Inglaterra,,x,Bélgica
federico,Panamá,x,,Túnez
federico,Colombia,x,,Japón
federico,Polonia,x,,Senegal
federico,Japón,x,,Senegal
federico,Polonia,,x,Colombia
federico,Japón,,x,Polonia
federico,Senegal,,x,Colombia